# SFHo EOS Table: 2famphi, nucleons_hyperons_deltas
# Equilibrium: beta_eq
# Components: photons
#            n_B              T          sigma          omega            rho            phi           mu_B           mu_C           mu_S           mu_e          mu_nu        P_total        e_total        s_total            Y_C            Y_S            Y_L      converged
  1.583000e-02              0   3.937703e+00   1.789439e+00  -1.002092e+00   0.000000e+00   9.435074e+02  -2.311432e+01   0.000000e+00   2.311432e+01   0.000000e+00   1.682013e-02   1.491850e+01   0.000000e+00   3.426356e-03   0.000000e+00   0.000000e+00              1
  2.213023e-02              0   5.389666e+00   2.497836e+00  -1.408794e+00   0.000000e+00   9.441991e+02  -3.003346e+01   0.000000e+00   3.003346e+01   0.000000e+00   2.999730e-02   2.086381e+01   0.000000e+00   5.378500e-03   0.000000e+00   0.000000e+00              1
  2.843047e-02              0   6.788718e+00   3.202488e+00  -1.813728e+00   0.000000e+00   9.449988e+02  -3.664179e+01   0.000000e+00   3.664179e+01   0.000000e+00   5.027416e-02   2.681229e+01   0.000000e+00   7.603955e-03   0.000000e+00   0.000000e+00              1
  3.473070e-02              0   8.141126e+00   3.902491e+00  -2.213145e+00   0.000000e+00   9.459114e+02  -4.298570e+01   0.000000e+00   4.298570e+01   0.000000e+00   7.915095e-02   3.276375e+01   0.000000e+00   1.005046e-02   0.000000e+00   0.000000e+00              1
  4.103094e-02              0   9.452159e+00   4.597120e+00  -2.603700e+00   0.000000e+00   9.469200e+02  -4.908250e+01   0.000000e+00   4.908250e+01   0.000000e+00   1.174009e-01   3.871782e+01   0.000000e+00   1.266536e-02   0.000000e+00   0.000000e+00              1
  4.733117e-02              0   1.072629e+01   5.285863e+00  -2.982511e+00   0.000000e+00   9.480017e+02  -5.493813e+01   0.000000e+00   5.493813e+01   0.000000e+00   1.652239e-01   4.467395e+01   0.000000e+00   1.539706e-02   0.000000e+00   0.000000e+00              1
  5.363140e-02              0   1.196731e+01   5.968428e+00  -3.347177e+00   0.000000e+00   9.491342e+02  -6.055445e+01   0.000000e+00   6.055445e+01   0.000000e+00   2.224184e-01   5.063144e+01   0.000000e+00   1.819668e-02   0.000000e+00   0.000000e+00              1
  5.993164e-02              0   1.317847e+01   6.644742e+00  -3.695772e+00   0.000000e+00   9.502986e+02  -6.593249e+01   0.000000e+00   6.593249e+01   0.000000e+00   2.885437e-01   5.658954e+01   0.000000e+00   2.101952e-02   0.000000e+00   0.000000e+00              1
  6.623187e-02              0   1.436254e+01   7.314931e+00  -4.026817e+00   0.000000e+00   9.514797e+02  -7.107398e+01   0.000000e+00   7.107398e+01   0.000000e+00   3.630588e-01   6.254751e+01   0.000000e+00   2.382598e-02   0.000000e+00   0.000000e+00              1
  7.253211e-02              0   1.552186e+01   7.979291e+00  -4.339230e+00   0.000000e+00   9.526670e+02  -7.598186e+01   0.000000e+00   7.598186e+01   0.000000e+00   4.454333e-01   6.850468e+01   0.000000e+00   2.658212e-02   0.000000e+00   0.000000e+00              1
  7.883234e-02              0   1.665842e+01   8.638260e+00  -4.632282e+00   0.000000e+00   9.538535e+02  -8.066044e+01   0.000000e+00   8.066044e+01   0.000000e+00   5.352314e-01   7.446049e+01   0.000000e+00   2.925976e-02   0.000000e+00   0.000000e+00              1
  8.513258e-02              0   1.777389e+01   9.292383e+00  -4.905540e+00   0.000000e+00   9.550360e+02  -8.511524e+01   0.000000e+00   8.511524e+01   0.000000e+00   6.321704e-01   8.041451e+01   0.000000e+00   3.183628e-02   0.000000e+00   0.000000e+00              1
  9.143281e-02              0   1.886971e+01   9.942289e+00  -5.158822e+00   0.000000e+00   9.562139e+02  -8.935285e+01   0.000000e+00   8.935285e+01   0.000000e+00   7.361579e-01   8.636648e+01   0.000000e+00   3.429426e-02   0.000000e+00   0.000000e+00              1
  9.773304e-02              0   1.994707e+01   1.058865e+01  -5.392153e+00   0.000000e+00   9.573891e+02  -9.338065e+01   0.000000e+00   9.338065e+01   0.000000e+00   8.473128e-01   9.231634e+01   0.000000e+00   3.662092e-02   0.000000e+00   0.000000e+00              1
  1.040333e-01              0   2.100696e+01   1.123218e+01  -5.605723e+00   0.000000e+00   9.585653e+02  -9.720662e+01   0.000000e+00   9.720662e+01   0.000000e+00   9.659727e-01   9.826417e+01   0.000000e+00   3.880760e-02   0.000000e+00   0.000000e+00              1
  1.103335e-01              0   2.205024e+01   1.187359e+01  -5.799860e+00   0.000000e+00   9.597475e+02  -1.008392e+02   0.000000e+00   1.008392e+02   0.000000e+00   1.092691e+00   1.042102e+02   0.000000e+00   4.084918e-02   0.000000e+00   0.000000e+00              1
