prescription,R_fm,W_MeV
LCN,0.02,0.5010736746429965
LCN,0.044008016032064126,2.4168905892014156
LCN,0.06801603206412826,5.751240534558381
LCN,0.0920240480961924,10.487713716523533
LCN,0.11603206412825652,16.609900340906517
LCN,0.14004008016032063,24.10139061351697
LCN,0.16404809619238478,32.94577474016456
LCN,0.1880561122244489,43.126642926658896
LCN,0.21206412825651302,54.62758537880966
LCN,0.23607214428857715,67.43219230242647
LCN,0.2600801603206413,81.52405390331899
LCN,0.28408817635270545,96.88676038729686
LCN,0.3080961923847696,113.50390196016971
LCN,0.3321042084168337,131.35906882774717
LCN,0.35611222444889784,150.43585119583892
LCN,0.38012024048096194,170.71783927025456
LCN,0.4041282565130261,192.1886232568038
LCN,0.42813627254509024,214.83179336129626
LCN,0.45214428857715433,238.63093978954154
LCN,0.4761523046092185,263.5696527473493
LCN,0.5001603206412826,289.63152244052924
LCN,0.5241683366733467,316.800139074891
LCN,0.5481763527054109,345.05909285624415
LCN,0.572184368737475,374.39197399039836
LCN,0.5961923847695392,404.7823726831634
LCN,0.6202004008016032,436.2138791403485
LCN,0.6442084168336674,468.6700835677638
LCN,0.6682164328657315,502.1345761712188
LCN,0.6922244488977957,536.5909471565233
LCN,0.7162324649298598,572.0227867294864
LCN,0.7402404809619239,608.413685095918
LCN,0.764248496993988,645.7472324616281
LCN,0.7882565130260522,684.007019032426
LCN,0.8122645290581163,723.1766350141214
LCN,0.8362725450901805,763.2396706125242
LCN,0.8602805611222445,804.1797160334434
LCN,0.8842885771543086,845.980361482689
LCN,0.9082965931863728,888.6251971660711
LCN,0.9323046092184369,932.0978132893988
LCN,0.9563126252505011,976.3818000584819
LCN,0.9803206412825651,1021.4607476791297
LCN,1.0043286573146293,1067.3182463571525
LCN,1.0283366733466934,1113.9378862983597
LCN,1.0523446893787576,1161.3032577085605
LCN,1.0763527054108217,1209.3979507935653
LCN,1.1003607214428859,1258.2055557591832
LCN,1.12436873747495,1307.709662811224
LCN,1.1483767535070142,1357.8938621554971
