T_MeV,phase,nBH_over_n0,R_star_fm,W_over_T,log10_tau_s
20.0,unpaired,0.1,13.24322,3627.7356849999996,inf
20.0,unpaired,0.13979930511686672,12.0868026,3012.14522,inf
20.0,unpaired,0.17959867340492736,11.3781468,2660.2614000000003,inf
20.0,unpaired,0.21939797852179407,10.8744676,2421.226965,inf
20.0,unpaired,0.25919734680985473,10.4809086,2240.6373,inf
20.0,unpaired,0.2989966519267214,10.1530794,2094.366075,inf
20.0,unpaired,0.33879595704358817,9.86785104,1970.2940350000001,inf
20.0,unpaired,0.3785953253316488,9.61215921,1861.744055,inf
20.0,unpaired,0.4183946304485155,9.37823806,1764.79469,inf
20.0,unpaired,0.4581939987365761,9.16120535,1676.9865949999999,inf
20.0,unpaired,0.49799330385344287,8.95782366,1596.679475,inf
20.0,unpaired,0.5377926721415035,8.76590903,1522.7403399999998,inf
20.0,unpaired,0.5775919772583702,8.58381857,1454.3086600000001,inf
20.0,unpaired,0.6173912823752369,8.41034592,1390.73027,inf
20.0,unpaired,0.6571907770056854,8.24453754,1331.47567,inf
20.0,unpaired,0.6969898926089704,8.08556903,1276.08916,inf
20.0,unpaired,0.7367890082122552,7.93279919,1224.1982249999999,inf
20.0,unpaired,0.7765887555274795,7.7856342,1175.46582,inf
20.0,unpaired,0.8163878711307644,7.64357673,1129.602075,inf
20.0,unpaired,0.8561869867340492,7.50621154,1086.356525,inf
20.0,unpaired,0.8959867340492736,7.37313498,1045.4958199999999,inf
20.0,unpaired,0.9357858496525585,7.24403926,1006.8256299999999,inf
20.0,unpaired,0.9755855969677827,7.11862398,970.164415,inf
20.0,unpaired,1.0153847125710675,6.99664497,935.3555749999999,inf
20.0,unpaired,1.0551838281743526,6.87789515,902.26075,inf
20.0,unpaired,1.0949835754895767,6.76219061,870.7553449999999,inf
20.0,unpaired,1.1347826910928616,6.64936793,840.727195,inf
20.0,unpaired,1.1745818066961466,6.53931814,812.08368,inf
20.0,unpaired,1.214381554011371,6.43192483,784.735945,inf
20.0,unpaired,1.2541806696146558,6.32710259,758.60772,inf
