sequence,M_B_Msun,M_Msun,R_km,nBc_over_n0,Tc_MeV
NS,0.2108859,0.2090299,15.69372,1.0033158559696778,0.0
NS,0.2191131,0.2169976,15.41348,1.0321699305116867,0.0
NS,0.2279138,0.2255065,15.11466,1.061905874921036,0.0
NS,0.2373502,0.234614,14.84514,1.0924548325963361,0.0
NS,0.2474867,0.244379,14.5965,1.12375489576753,0.0
NS,0.2583895,0.2548618,14.35707,1.155958938723942,0.0
NS,0.2701368,0.2661333,14.13712,1.1890789639924193,0.0
NS,0.2828033,0.2782606,13.93361,1.2231200252684777,0.0
NS,0.2964693,0.291315,13.72967,1.2580890713834492,0.0
NS,0.3112153,0.3053672,13.54501,1.2939709412507898,0.0
NS,0.3271236,0.3204885,13.3765,1.3308022741629817,0.0
NS,0.3442646,0.3367376,13.22222,1.3686083385975996,0.0
NS,0.3627204,0.354183,13.0789,1.4074144030322173,0.0
NS,0.3825547,0.3728748,12.94954,1.4472394188250157,0.0
NS,0.4038605,0.3928901,12.83383,1.4880998104864183,0.0
NS,0.4266654,0.4142411,12.72693,1.5300101073910297,0.0
NS,0.4510425,0.4369833,12.63297,1.572989260897031,0.0
NS,0.4770342,0.4611418,12.54957,1.6170530638029061,0.0
NS,0.5046702,0.4867275,12.47737,1.6622236260265317,0.0
NS,0.5339677,0.5137394,12.4146,1.7085262160454835,0.0
NS,0.5649447,0.5421767,12.36072,1.7559772583701831,0.0
NS,0.5975883,0.5720081,12.31599,1.8045938092229945,0.0
NS,0.631883,0.6031998,12.27556,1.8543866077068858,0.0
NS,0.6678175,0.6357232,12.24299,1.9053847125710677,0.0
NS,0.7065269,0.670575,12.21623,1.9592444725205307,0.0
NS,0.7312313,0.6927199,12.20202,2.012154769425142,0.0
NS,0.7465077,0.7063732,12.19473,2.0667605811749845,0.0
NS,0.7606259,0.7189637,12.18549,2.1233663929248263,0.0
NS,0.7744998,0.7313089,12.17639,2.1816203411244475,0.0
NS,0.7884776,0.7437184,12.16668,2.241454832596336,0.0
NS,0.8028109,0.7564128,12.15409,2.302926721415035,0.0
NS,0.8176435,0.7695174,12.14019,2.366140240050537,0.0
NS,0.8331194,0.7831542,12.12416,2.43065698041693,0.0
NS,0.8493379,0.7974058,12.10456,2.4970132659507267,0.0
NS,0.8664425,0.8123916,12.0821,2.565027795325332,0.0
NS,0.8845437,0.8282025,12.05642,2.6346790903348074,0.0
NS,0.9037474,0.844921,12.02688,2.7060360075805434,0.0
NS,0.9241731,0.8626427,11.99326,2.7791212886923566,0.0
NS,0.945965,0.8814814,11.95616,2.8539159823120657,0.0
NS,0.9692436,0.9015282,11.91732,2.930400505369551,0.0
NS,0.9941178,0.9228626,11.87325,3.0085622236260265,0.0
NS,1.020663,0.9455343,11.82481,3.088371446620341,0.0
NS,1.04901,0.9696368,11.77494,3.1698591282375235,0.0
NS,1.079192,0.9951763,11.72295,3.253026531901453,0.0
NS,1.111225,1.022146,11.66842,3.3378136449778903,0.0
NS,1.145087,1.050505,11.61375,3.4242286797220465,0.0
