sigma,phase,M_PNS_Msun,R_star_fm,W_over_T,log10_tau_s
80.0,unpaired,0.6066949,4.925823813875112,340.5450699380369,73.14558986740192
80.0,unpaired,0.6217995,4.827197176199295,321.42406339721396,65.10898006381535
80.0,unpaired,0.6375097,4.729627957937697,303.34247440319734,57.36385795114748
80.0,unpaired,0.6537863,4.633406144392302,286.29514779266776,49.92838949102438
80.0,unpaired,0.6706168,4.5388198940672435,270.2709048773501,42.81833080223089
80.0,unpaired,0.6879966,4.446239791836634,255.27395289732723,36.11909720449823
80.0,unpaired,0.7058676,4.356543841218755,241.4091166308282,30.270051176348183
80.0,unpaired,0.7242177,4.269525356494743,228.51975098756571,24.743903392595723
80.0,unpaired,0.7430126,4.185153472556264,216.52375710066244,19.52297719851196
80.0,unpaired,0.7622018,4.103567174265733,205.37575246393652,14.603646325817731
80.0,unpaired,0.7817645,4.024945313137929,195.03989262093188,9.985063463405016
80.0,unpaired,0.8016508,3.950116914391846,185.5714577297808,5.91946602181722
80.0,unpaired,0.8218293,3.8786256560919266,176.8420878837769,2.1882462316381357
80.0,unpaired,0.8422629,3.8103279308755384,168.77949446899981,-1.2991087561483785
80.0,unpaired,0.8629149,3.745503568647063,161.37419357796017,-4.537067966734022
80.0,unpaired,0.8837535,3.6839691614113987,154.5545613689111,-7.5483624181238635
80.0,unpaired,0.9047515,3.6256979923583565,148.27774484595278,-10.344804821685031
80.0,unpaired,0.9258713,3.570777225105069,142.5195964987933,-12.866545927714002
80.0,unpaired,0.9470957,3.519023336081868,137.22922912309733,-15.132995745265719
80.0,unpaired,0.9683892,3.470232925252838,132.3556671360411,-17.23990830433484
80.0,unpaired,0.9897522,3.424647585601198,127.89942744151715,-19.183057925625466
80.0,unpaired,1.011149,3.381736429642121,123.78296382392503,-20.99261191362998
80.0,unpaired,1.032558,3.341347289473844,119.97525382405478,-22.679478291439427
80.0,unpaired,1.05397,3.3039101846966634,116.49933740880488,-24.231514810280128
80.0,unpaired,1.075371,3.268764478192706,113.27992551656612,-25.67987765551692
80.0,unpaired,1.09675,3.2358907497879943,110.30742352972347,-26.997959155785008
80.0,unpaired,1.118085,3.20507897285858,107.55581717966368,-28.191036336875346
80.0,unpaired,1.139378,3.176260595173403,105.00535147080461,-29.30561601620965
80.0,unpaired,1.160606,3.149396665731908,102.64670392983756,-30.344604105962787
80.0,unpaired,1.181755,3.124305824156134,100.4590994487047,-31.31604096280911
80.0,unpaired,1.202825,3.1007823112071287,98.42187084598028,-32.22805068206208
80.0,unpaired,1.22379,3.078935916769833,96.54002535887001,-33.077765831155716
80.0,unpaired,1.244655,3.0583911017252943,94.78221152867879,-33.87815917715717
80.0,unpaired,1.265384,3.0390860778851554,93.1418984543535,-34.63152063141066
80.0,unpaired,1.285967,3.020965860774349,91.61515490966372,-35.33887164447863
80.0,unpaired,1.306385,3.003764626623381,90.18330011905248,-35.99863093619359
80.0,unpaired,1.32662,2.987240328341003,88.83161441106873,-36.59730670043657
80.0,unpaired,1.346641,2.971462434462241,87.56208475801499,-37.16364377697938
80.0,unpaired,1.366428,2.956271456153099,86.36514280916292,-37.70115735758533
80.0,unpaired,1.385951,2.9415137540506717,85.23187770832781,-38.21307211057817
80.0,unpaired,1.405176,2.9270473515927335,84.15420093991993,-38.702283967923265
80.0,unpaired,1.424072,2.912713472149317,83.12319381337285,-39.172005666491515
80.0,unpaired,1.44261,2.8983541964208492,82.13004942028675,-39.62544171077741
80.0,unpaired,1.460747,2.8837656630445165,81.16332278911676,-40.066951751535115
80.0,unpaired,1.478449,2.8688105286153256,80.21506875562199,-40.49941922861603
80.0,unpaired,1.495677,2.8532627947484634,79.27392626189612,-40.92713987063695
80.0,unpaired,1.512403,2.8369600891079934,78.32861897626326,-41.35465611841983
80.0,unpaired,1.52858,2.8197277195603005,77.36802200861871,-41.786499404572545
80.0,unpaired,1.544188,2.801314402646156,76.37825797820012,-42.22824320420441
80.0,unpaired,1.55919,2.7815882015920192,75.34852542963569,-42.68455238105785
80.0,unpaired,1.573565,2.760306115228841,74.26350792902197,-43.1618727082717
80.0,unpaired,1.587292,2.7373143573090695,73.11127234493247,-43.66542158512378
80.0,unpaired,1.600355,2.7124204225796973,71.87820415647464,-44.201037475470926
80.0,unpaired,1.612749,2.685485321683494,70.55259794598695,-44.77390571361571
80.0,unpaired,1.624466,2.6562687774071323,69.11855281917697,-45.39079606418714
80.0,unpaired,1.635519,2.6247073670497496,67.56943993602835,-46.05460744969097
80.0,unpaired,1.645909,2.5906043143441995,65.89320170013633,-46.77043115023481
80.0,unpaired,1.655654,2.553917013979135,64.08724829041796,-47.53930272238085
80.0,unpaired,1.664768,2.514491549975826,62.14573837145398,-48.36353489774362
80.0,unpaired,1.67327,2.4722828711384337,60.070849197902284,-49.22333520698021
80.0,unpaired,1.681184,2.4272602397875795,57.86825396838204,-49.60963344237183
80.0,unpaired,1.688523,2.3794496407553916,55.54889891031608,-49.86644616978138
80.0,unpaired,1.69531,2.328845186366085,53.12444415442532,-50.0
80.0,unpaired,1.701556,2.27551870991963,50.61162022834879,-49.99999999999999
80.0,unpaired,1.707274,2.2195695523124757,48.029912513982914,-50.0
80.0,unpaired,1.71248,2.1611298369487093,45.398945722768495,-50.00000000000001
80.0,unpaired,1.71718,2.1002723186352608,42.73726052174249,-50.0
80.0,unpaired,1.721386,2.037272217465915,40.06821138696729,-50.0
80.0,unpaired,1.725109,1.9723385036493253,37.41069521392637,-50.0
80.0,unpaired,1.728358,1.9057136869308806,34.784347856328935,-50.0
80.0,unpaired,1.731145,1.8376515857954552,32.20741350370595,-49.99999999999999
80.0,unpaired,1.733479,1.7684160410609637,29.695055264158484,-50.0
80.0,unpaired,1.735373,1.6983022853518306,27.262600844125803,-50.0
80.0,unpaired,1.736837,1.627599141089315,24.923014305976867,-50.0
80.0,unpaired,1.737882,1.5566305557139413,22.68822719942941,-49.99999999999999
80.0,unpaired,1.738524,1.4856977882579319,20.567295228729158,-50.0
80.0,unpaired,1.738771,1.4151167972681984,18.56767748182412,-50.0
80.0,cfl,0.6066949,3.1283246538659286,148.4376444888325,-10.037616279859632
80.0,cfl,0.6217995,3.102309933225706,143.3897955937271,-12.161358564038435
80.0,cfl,0.6375097,3.0757282466828006,138.48005254622055,-14.266396697071263
80.0,cfl,0.6537863,3.0486246751182535,133.71474414028575,-16.34651431439469
80.0,cfl,0.6706168,3.0210502889620345,129.09971522220087,-18.395366556195274
80.0,cfl,0.6879966,2.993092169950051,124.6424917179847,-20.38752916401061
80.0,cfl,0.7058676,2.9650215854401116,120.36378919580235,-22.200131514825713
80.0,cfl,0.7242177,2.9367110338098246,116.25621126323688,-23.96733215567508
80.0,cfl,0.7430126,2.9081965230382023,112.31036870133065,-25.68923004511345
80.0,cfl,0.7622018,2.8795413897107833,108.5239975571636,-27.363087506914766
80.0,cfl,0.7817645,2.850817685941964,104.89645500629359,-28.98558876980216
80.0,cfl,0.8016508,2.82233686845364,101.4429622727675,-30.47790400313999
80.0,cfl,0.8218293,2.7939933899395277,98.14708717542086,-31.897627316808794
80.0,cfl,0.8422629,2.765777360783139,94.99960866933006,-33.26802271588075
80.0,cfl,0.8629149,2.7377921370952274,92.00479353044835,-34.58463344044478
80.0,cfl,0.8837535,2.710060811940253,89.14912250714053,-35.850926477727604
80.0,cfl,0.9047515,2.682626676502781,86.42592568322118,-37.067776761987176
80.0,cfl,0.9258713,2.655613474371214,83.83398434678809,-38.211317110516816
80.0,cfl,0.9470957,2.629036913194057,81.36518204201305,-39.283512813907265
80.0,cfl,0.9683892,2.6028338824052075,79.00869232820071,-40.314732819272024
80.0,cfl,0.9897522,2.577122508183428,76.76966053476755,-41.30146624498184
80.0,cfl,1.011149,2.551799891333376,74.62626957901618,-42.2520224890868
80.0,cfl,1.032558,2.5268514434192557,72.57127693042845,-43.168649569389174
80.0,cfl,1.05397,2.50246930433953,70.61737506419331,-44.045024021132946
80.0,cfl,1.075371,2.4784740094192967,68.74068595168534,-44.890921778250345
80.0,cfl,1.09675,2.454950060985392,66.94414385785196,-45.6939032164868
80.0,cfl,1.118085,2.431872815559999,65.22239189185936,-46.454085866642174
80.0,cfl,1.139378,2.4091985609310878,63.56724020535075,-47.18865466794574
80.0,cfl,1.160606,2.386937235814348,61.977533802366764,-47.8976113768671
80.0,cfl,1.181755,2.3650534473373646,60.44761776015208,-48.5829899529393
80.0,cfl,1.202825,2.343490095302747,58.97115819496597,-49.247154353442866
80.0,cfl,1.22379,2.32232643643304,57.553065278174266,-49.67074957870872
80.0,cfl,1.244655,2.30142720543017,56.181899781290255,-49.89028550089668
80.0,cfl,1.265384,2.2807922194545913,54.85691972470828,-49.99999999999999
80.0,cfl,1.285967,2.2604189755825,53.57866181541804,-50.0
80.0,cfl,1.306385,2.2402378223974977,52.341999274243875,-49.99999999999999
80.0,cfl,1.32662,2.2202143726895884,51.14467896884225,-50.0
80.0,cfl,1.346641,2.2003143469818727,49.98474841205909,-50.0
80.0,cfl,1.366428,2.180480921169875,48.859502895846646,-50.0
80.0,cfl,1.385951,2.1606605964717422,47.76647623318859,-50.0
80.0,cfl,1.405176,2.140806556005292,46.70353356812309,-49.99999999999999
80.0,cfl,1.424072,2.1208635599339845,45.668149606172896,-50.0
80.0,cfl,1.44261,2.1007779008017464,44.657851474891935,-50.0
80.0,cfl,1.460747,2.080474233555072,43.669158563403755,-50.0
80.0,cfl,1.478449,2.059912664041193,42.69997815768836,-50.0
80.0,cfl,1.495677,2.0390232609113785,41.74813718296895,-50.0
80.0,cfl,1.512403,2.0177533013658904,40.809624460881615,-50.0
80.0,cfl,1.52858,1.9960541416303506,39.881361149522604,-50.0
80.0,cfl,1.544188,1.9738613349939635,38.960881407413204,-50.0
80.0,cfl,1.55919,1.9511466320383928,38.0446215910412,-50.0
80.0,cfl,1.573565,1.9278568451800813,37.129392096197805,-50.0
80.0,cfl,1.587292,1.9039655417688663,36.211966445690095,-50.0
80.0,cfl,1.600355,1.8794576055307348,35.290090523581036,-50.0
80.0,cfl,1.612749,1.8543066071326069,34.35996995642193,-50.0
80.0,cfl,1.624466,1.8284744457965214,33.4183783153867,-50.0
80.0,cfl,1.635519,1.801987226673262,32.46403865099678,-50.0
80.0,cfl,1.645909,1.7747865910058895,31.492901051931064,-50.0
80.0,cfl,1.655654,1.746890298087086,30.50436909829842,-50.0
80.0,cfl,1.664768,1.718243994290273,29.49600102630315,-49.99999999999999
80.0,cfl,1.67327,1.6888255371701437,28.46739424482559,-49.99999999999999
80.0,cfl,1.681184,1.6585986535027537,27.418657059082207,-50.0
80.0,cfl,1.688523,1.6275341268954806,26.351107829171468,-50.0
80.0,cfl,1.69531,1.5955694907863993,25.26584450152363,-50.0
80.0,cfl,1.701556,1.5626669835083118,24.165450907681958,-49.99999999999999
80.0,cfl,1.707274,1.5288062039504877,23.05384840521098,-50.0
80.0,cfl,1.71248,1.4939586964216467,21.934240605020744,-50.00000000000001
80.0,cfl,1.71718,1.4581571068247576,20.81215882134667,-50.0
80.0,cfl,1.721386,1.4213779840750589,19.69106603430511,-50.0
80.0,cfl,1.725109,1.3836359331161152,18.57481945340184,-50.0
80.0,cfl,1.728358,1.3449762246696837,17.468280320762616,-50.0
80.0,cfl,1.731145,1.3054525951187943,16.376151276136262,-49.99999999999999
80.0,cfl,1.733479,1.2651271747490467,15.302358071778542,-50.0
80.0,cfl,1.735373,1.2240874672119513,14.251459498482408,-50.0
80.0,cfl,1.736837,1.1824236327685418,13.227574883625987,-50.0
80.0,cfl,1.737882,1.1402529491557607,12.234935434541397,-49.99999999999999
80.0,cfl,1.738524,1.0976889179470704,11.277106511245567,-50.0
80.0,cfl,1.738771,1.054864336273607,10.357520636680619,-50.0
80.0,unpCFL,0.6066949,2.6715062849912194,197.0780035141649,11.10977565773474
80.0,unpCFL,0.6217995,2.6803982807983817,192.05031816300936,9.01185667797669
80.0,unpCFL,0.6375097,2.6893091030017504,187.1169653199917,6.9039381574646
80.0,unpCFL,0.6537863,2.6982107213833526,182.2840002753265,4.791463438762573
80.0,unpCFL,0.6706168,2.7070726362118442,177.55753680783732,2.6803859866015567
80.0,unpCFL,0.6879966,2.7160174229610012,172.94333137211552,0.6011296700534736
80.0,unpCFL,0.7058676,2.7259743017273173,168.44599430237452,-1.2908135339644695
80.0,unpCFL,0.7242177,2.7357501812325404,164.07777538511627,-3.164636624451343
80.0,unpCFL,0.7430126,2.7453447920903686,159.8333890960817,-5.018649717311905
80.0,unpCFL,0.7622018,2.7547386213122027,155.71421904841353,-6.848425766775648
80.0,unpCFL,0.7817645,2.763907144418009,151.72356943813355,-8.648668371273102
80.0,unpCFL,0.8016508,2.7738250925962245,147.85632816206396,-10.315654948986202
80.0,unpCFL,0.8218293,2.7837588102903656,144.11774931363456,-11.91969170699784
80.0,unpCFL,0.8422629,2.793384749277455,140.5114472060711,-13.48837643057747
80.0,unpCFL,0.8629149,2.8026590204666237,137.04780952343646,-15.014168231759271
80.0,unpCFL,0.8837535,2.811617552311161,133.71846010135746,-16.49777124098589
80.0,unpCFL,0.9047515,2.8202690269031585,130.52202179783046,-17.93724925512238
80.0,unpCFL,0.9258713,2.8291974290406805,127.44065221596102,-19.2997099372218
80.0,unpCFL,0.9470957,2.8384702903891674,124.46652703669061,-20.584700751116443
80.0,unpCFL,0.9683892,2.8474263935278366,121.61818927175105,-21.82763636478987
80.0,unpCFL,0.9897522,2.8560345188378853,118.90866788630747,-23.02124288960361
80.0,unpCFL,1.011149,2.8643876399083004,116.31508118230849,-24.173890048650094
80.0,unpCFL,1.032558,2.872506954965417,113.83236461138895,-25.28661895792768
80.0,unpCFL,1.05397,2.8803432174812973,111.48380344811058,-26.348246102829723
80.0,unpCFL,1.075371,2.887989770717099,109.23986629089234,-27.37083596668249
80.0,unpCFL,1.09675,2.895929885587681,107.0774139869636,-28.341374722632647
80.0,unpCFL,1.118085,2.9042958952781706,104.98194449719858,-29.26065350089124
80.0,unpCFL,1.139378,2.9124812532296427,102.98429802064855,-30.14390532758604
80.0,unpCFL,1.160606,2.920478450901562,101.08575701306847,-30.98999288901655
80.0,unpCFL,1.181755,2.9283045523148514,99.2797220036313,-31.801266426757735
80.0,unpCFL,1.202825,2.9359751863416736,97.55749108659555,-32.58103278343327
80.0,unpCFL,1.22379,2.943450797960379,95.92956783345957,-33.32428611938911
80.0,unpCFL,1.244655,2.950761882175439,94.37723484064776,-34.03877429366379
80.0,unpCFL,1.265384,2.9578908084933597,92.9001154287514,-34.724280629458995
80.0,unpCFL,1.285967,2.9647972843741033,91.49928924334546,-35.379784989563326
80.0,unpCFL,1.306385,2.969557740844677,90.1493091483789,-36.00682736940199
80.0,unpCFL,1.32662,2.9667986217838633,88.81823407634545,-36.5992060609324
80.0,unpCFL,1.346641,2.9622366746849997,87.5589647209956,-37.16322666449462
80.0,unpCFL,1.366428,2.9552180276296816,86.3650766717315,-37.70098200393661
80.0,unpCFL,1.385951,2.9415137540506717,85.23187770832781,-38.21307211057817
80.0,unpCFL,1.405176,2.9270473515927335,84.15420093991993,-38.702283967923265
80.0,unpCFL,1.424072,2.912713472149317,83.12319381337285,-39.172005666491515
80.0,unpCFL,1.44261,2.8983541964208492,82.13004942028675,-39.62544171077741
80.0,unpCFL,1.460747,2.8837656630445165,81.16332278911676,-40.066951751535115
80.0,unpCFL,1.478449,2.8688105286153256,80.21506875562199,-40.49941922861603
80.0,unpCFL,1.495677,2.8532627947484634,79.27392626189612,-40.92713987063695
80.0,unpCFL,1.512403,2.8369600891079934,78.32861897626326,-41.35465611841983
80.0,unpCFL,1.52858,2.8197277195603005,77.36802200861871,-41.786499404572545
80.0,unpCFL,1.544188,2.801314402646156,76.37825797820012,-42.22824320420441
80.0,unpCFL,1.55919,2.7815882015920192,75.34852542963569,-42.68455238105785
80.0,unpCFL,1.573565,2.760306115228841,74.26350792902197,-43.1618727082717
80.0,unpCFL,1.587292,2.7373143573090695,73.11127234493247,-43.66542158512378
80.0,unpCFL,1.600355,2.7124204225796973,71.87820415647464,-44.201037475470926
