set,quark_tag,snapshot,sigma,phase,nBH_over_n0,T_nuc_MeV
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.1,67.96794417542887
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.13979930511686672,55.397437022208564
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.17959867340492736,44.893854541675296
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.21939797852179407,38.724007986263274
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.25919734680985473,35.028902107385115
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.2989966519267214,32.51514994419555
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.33879595704358817,30.645637586739568
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.3785953253316488,29.167585133362085
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.4183946304485155,27.945913897011405
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.4581939987365761,26.901757546861496
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.49799330385344287,25.985599266004854
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.5377926721415035,25.16537868151032
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.5775919772583702,24.41973289325749
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.6173912823752369,23.7324027791683
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.6571907770056854,23.091615215687906
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.6969898926089704,22.49045216034379
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.7367890082122552,21.92200784780286
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.7765887555274795,21.380394218629423
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.8163878711307644,20.86104494136756
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.8561869867340492,20.361245262498723
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.8959867340492736,19.8794886967043
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.9357858496525585,19.41343534395099
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,0.9755855969677827,18.959469435198297
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.0153847125710675,18.51606998269753
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.0551838281743526,18.08245155512358
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.0949835754895767,17.65870404867427
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.1347826910928616,17.245197275000507
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.1745818066961466,16.840866872294676
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.214381554011371,16.442300533896148
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.2541806696146558,16.047695298859402
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.2939797852179407,15.65931050466815
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.333779532533165,15.279049031355116
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.3735786481364498,14.907717584545251
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.413377763739735,14.544618493022186
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.453177511054959,14.18787764490289
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.4929766266582438,13.834897039475038
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.532775742261529,13.48378218857668
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.5725754895767532,13.136541802621325
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.6123746051800378,12.804224073433769
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.652173720783323,12.482655591864344
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.6919734680985472,12.170727161783821
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.7317725837018318,11.866755931023183
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.771571699305117,11.567954003380422
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.8113714466203412,11.271991274594694
Set A,B4145_D80_a0.16_ms100,$t_0$,50.0,unpaired,1.8511705622236259,10.978632989766476
