n_B_over_n0,T_MeV,R_star_fm
0.1,10.0,2.63116081
0.13979930511686672,10.0,2.63116081
0.17959867340492736,10.0,2.63116081
0.21939797852179407,10.0,2.63116081
0.25919734680985473,10.0,2.63116081
0.2989966519267214,10.0,2.63116081
0.33879595704358817,10.0,2.63116081
0.3785953253316488,10.0,2.63116081
0.4183946304485155,10.0,2.63116081
0.4581939987365761,10.0,2.63116081
0.49799330385344287,10.0,2.63116081
0.5377926721415035,10.0,2.63116081
0.5775919772583702,10.0,2.63116081
0.6173912823752369,10.0,2.63116081
0.6571907770056854,10.0,2.63116081
0.6969898926089704,10.0,2.63116081
0.7367890082122552,10.0,2.63116081
0.7765887555274795,10.0,2.63116081
0.8163878711307644,10.0,2.63116081
0.8561869867340492,10.0,2.63116081
0.8959867340492736,10.0,2.63116081
0.9357858496525585,10.0,2.63116081
0.9755855969677827,10.0,2.63116081
1.0153847125710675,10.0,2.63116081
1.0551838281743526,10.0,2.63116081
1.0949835754895767,10.0,2.63116081
1.1347826910928616,10.0,2.63116081
1.1745818066961466,10.0,2.63116081
1.214381554011371,10.0,2.63116081
1.2541806696146558,10.0,2.63116081
1.2939797852179407,10.0,2.63116081
1.333779532533165,10.0,2.63116081
1.3735786481364498,10.0,2.63116081
1.413377763739735,10.0,2.63116081
1.453177511054959,10.0,2.63116081
1.4929766266582438,10.0,2.63116081
1.532775742261529,10.0,2.63116081
1.5725754895767532,10.0,2.63116081
1.6123746051800378,10.0,2.63116081
1.652173720783323,10.0,2.63116081
1.6919734680985472,10.0,2.63116081
1.7317725837018318,10.0,2.59921666
1.771571699305117,10.0,2.55660023
1.8113714466203412,10.0,2.51497119
1.8511705622236259,10.0,2.4743085
1.890969677826911,10.0,2.43462268
1.9307694251421352,10.0,2.3958797
1.9705685407454203,10.0,2.35809851
2.010367656348705,10.0,2.32132053
2.050167403663929,10.0,2.28560576
2.089966519267214,10.0,2.25108248
2.129765634870499,10.0,2.21786108
2.169565382185723,10.0,2.18618904
2.209364497789008,10.0,2.15628826
2.249163613392293,10.0,2.12848075
2.2889633607075175,10.0,2.10306852
2.328762476310802,10.0,2.08036358
2.368561591914087,10.0,2.06049139
2.4083613392293115,10.0,2.04352404
2.448160454832596,10.0,2.02942028
2.4879595704358817,10.0,2.01798703
2.5277593177511055,10.0,2.00896763
2.56755843335439,10.0,2.00208697
2.6073575489576757,10.0,1.99704029
2.6471572962728995,10.0,1.99362807
2.686956411876184,10.0,1.99156265
2.726756159191409,10.0,1.99063074
2.7665552747946935,10.0,1.99070988
2.8063543903979786,10.0,1.99158094
2.846154137713203,10.0,1.99314025
2.8859532533164876,10.0,1.99527843
2.9257523689197726,10.0,1.99790617
2.965552116234997,10.0,2.00090147
3.0053512318382816,10.0,2.00421124
3.0451503474415667,10.0,2.00774766
3.084950094756791,10.0,2.01149451
3.124749210360076,10.0,2.01534915
3.1645483259633607,10.0,2.01927731
3.204348073278585,10.0,2.0232624
3.2441471888818696,10.0,2.02722565
3.283946304485155,10.0,2.03112982
3.323746051800379,10.0,2.03495673
3.3635451674036636,10.0,2.03864741
3.403344283006949,10.0,2.04221966
3.443144030322173,10.0,2.04562468
3.4829431459254576,10.0,2.04880468
3.522742261528743,10.0,2.0517846
3.562542008843967,10.0,2.05455651
3.6023411244472525,10.0,2.05705319
3.642140240050537,10.0,2.0592993
3.681939987365761,10.0,2.06129586
3.7217391029690465,10.0,2.0629896
3.761538218572331,10.0,2.06443302
3.801337965887555,10.0,2.06555591
3.8411370814908405,10.0,2.06643811
3.880936197094125,10.0,2.06700814
3.92073594440935,10.0,2.06729776
3.9605350600126346,10.0,2.06728592
4.00033417561592,10.0,2.06699635
4.040133922931144,10.0,2.06642723
4.079933038534429,10.0,2.06558246
4.119732154137713,10.0,2.06447194
4.1595319014529375,10.0,2.06304306
4.199331017056222,10.0,2.06135589
4.239130132659508,10.0,2.05939283
4.278929879974732,10.0,2.05714567
4.318728995578017,10.0,2.05459759
4.358528742893241,10.0,2.05177167
4.3983278584965255,10.0,2.04868209
4.43812697409981,10.0,2.04526987
4.477926721415035,10.0,2.04159948
4.51772583701832,10.0,2.03763073
4.557524952621605,10.0,2.03336616
4.597324699936829,10.0,2.02885092
4.6371238155401135,10.0,2.02403017
4.676922931143398,10.0,2.018952
4.716722678458623,10.0,2.01359275
4.756521794061908,10.0,2.00798712
4.796320909665193,10.0,2.00210081
4.836120656980417,10.0,1.99602278
4.875919772583702,10.0,1.98966227
4.915718888186986,10.0,1.98311175
4.955518635502211,10.0,1.97632802
4.995317751105496,10.0,1.96933441
5.035116866708781,10.0,1.96208201
5.074916614024005,10.0,1.95462473
5.11471572962729,10.0,1.94694855
5.154514845230575,10.0,1.93903264
5.194314592545799,10.0,1.93085713
5.234113708149084,10.0,1.9224008
5.273912823752369,10.0,1.91370195
5.313712571067593,10.0,1.90473971
5.353511686670878,10.0,1.89548135
5.393310802274163,10.0,1.88594948
5.433110549589387,10.0,1.8760991
5.472909665192672,10.0,1.86593293
5.512708780795958,10.0,1.85547652
5.552508528111181,10.0,1.84472697
5.592307643714466,10.0,1.83365261
5.632106759317751,10.0,1.8222802
5.6719065066329755,10.0,1.81059971
5.711705622236261,10.0,1.79858647
5.751504737839546,10.0,1.78629793
5.791304485154769,10.0,1.77370059
5.831103600758055,10.0,1.76078412
5.870902716361339,10.0,1.74758679
5.9107024636765635,10.0,1.7341057
5.950501579279849,10.0,1.72035362
5.990300694883134,10.0,1.70633389
6.030100442198358,10.0,1.69203967
6.069899557801643,10.0,1.67749538
6.109699305116867,10.0,1.66274036
6.149498420720152,10.0,1.64774404
6.189297536323437,10.0,1.63256489
6.22909728363866,10.0,1.61718961
6.268896399241946,10.0,1.6016383
6.308695514845231,10.0,1.58597917
6.348496525584333,10.0,1.57022007
6.3882943777637395,10.0,1.55434015
6.428092229943147,10.0,1.53841031
6.467890082122553,10.0,1.52244345
6.507694251421352,10.0,1.50642781
6.547492103600758,10.0,1.49045306
6.587289955780164,10.0,1.47449373
6.62708780795957,10.0,1.45854359
6.666891977258371,10.0,1.44265338
6.706689829437776,10.0,1.42683029
6.746487681617182,10.0,1.41109111
6.786285533796589,10.0,1.3954035
6.826089703095389,10.0,1.37979852
6.865887555274795,10.0,1.36427603
6.905685407454201,10.0,1.348825
6.9454832596336065,10.0,1.33347732
6.985287428932407,10.0,1.3181986
7.025085281111814,10.0,1.30302719
7.064883133291219,10.0,1.28792669
7.104680985470625,10.0,1.27291462
7.1444788376500314,10.0,1.25800163
7.1842830069488315,10.0,1.24317801
7.224080859128238,10.0,1.2284341
7.263878711307644,10.0,1.21378445
7.30367656348705,10.0,1.19923661
7.34348073278585,10.0,1.18476191
7.3832785849652565,10.0,1.17038902
7.423076437144663,10.0,1.15610879
7.462874289324068,10.0,1.14190907
7.502678458622867,10.0,1.12781706
7.542476310802275,10.0,1.11382315
7.5822741629816806,10.0,1.0999121
7.622072015161087,10.0,1.08611259
7.661869867340493,10.0,1.07241031
7.701674036639292,10.0,1.05881122
7.741471888818699,10.0,1.04530388
7.7812697409981055,10.0,1.03191016
7.821067593177512,10.0,1.01861759
7.860871762476311,10.0,1.00543133
7.900669614655716,10.0,0.992353553
7.940467466835124,10.0,0.979373049
7.98026531901453,10.0,0.966524473
8.020069488313329,10.0,0.953765126
8.059867340492735,10.0,0.941142055
8.099665192672141,10.0,0.928613844
8.13946304485155,10.0,0.91619836
8.179267214150348,10.0,0.903910829
8.219065066329753,10.0,0.891726887
8.258862918509159,10.0,0.87967417
8.298660770688565,10.0,0.86772838
8.338458622867973,10.0,0.855904245
8.378262792166772,10.0,0.844202965
8.418060644346179,10.0,0.832612857
8.457858496525585,10.0,0.821148477
8.49765634870499,10.0,0.809797543
8.53746051800379,10.0,0.798585665
8.577258370183197,10.0,0.787477261
8.617056222362603,10.0,0.77649728
8.656854074542009,10.0,0.765645769
8.696658243840808,10.0,0.754911649
8.736456096020214,10.0,0.744296076
8.77625394819962,10.0,0.733809519
8.816051800379027,10.0,0.723441515
8.855855969677828,10.0,0.713193137
8.895653821857234,10.0,0.703073352
8.93545167403664,10.0,0.693072858
8.975249526216045,10.0,0.68319124
9.015047378395451,10.0,0.673428624
9.054851547694252,10.0,0.663794466
9.094649399873658,10.0,0.654278578
9.134447252053064,10.0,0.644889586
9.17424510423247,10.0,0.635609957
9.21404927353127,10.0,0.626456164
9.253847125710676,10.0,0.61741945
9.293644977890082,10.0,0.608499381
9.333442830069488,10.0,0.599702987
9.373246999368288,10.0,0.59102207
9.413044851547696,10.0,0.582448597
9.452842703727102,10.0,0.573996743
9.492640555906506,10.0,0.565665449
9.532438408085913,10.0,0.557440319
9.572242577384712,10.0,0.549333816
9.61204042956412,10.0,0.54133237
9.651838281743526,10.0,0.533448081
9.691636133922932,10.0,0.52567385
9.731440303221731,10.0,0.518009019
9.771238155401138,10.0,0.510452491
9.811036007580544,10.0,0.503004109
