set,snapshot,sigma,n_B_over_n0,T_nuc_MeV
B4145_D80_a0.16_ms100,$t_0$,50.0,0.1,20.576590327641682
B4145_D80_a0.16_ms100,$t_0$,50.0,0.13979930511686672,19.711879612496293
B4145_D80_a0.16_ms100,$t_0$,50.0,0.17959867340492736,19.15649070714168
B4145_D80_a0.16_ms100,$t_0$,50.0,0.21939797852179407,18.751771065623927
B4145_D80_a0.16_ms100,$t_0$,50.0,0.25919734680985473,18.42869767472495
B4145_D80_a0.16_ms100,$t_0$,50.0,0.2989966519267214,18.152996927256535
B4145_D80_a0.16_ms100,$t_0$,50.0,0.33879595704358817,17.90610198612081
B4145_D80_a0.16_ms100,$t_0$,50.0,0.3785953253316488,17.677389536907313
B4145_D80_a0.16_ms100,$t_0$,50.0,0.4183946304485155,17.460490528485273
B4145_D80_a0.16_ms100,$t_0$,50.0,0.4581939987365761,17.25152159266287
B4145_D80_a0.16_ms100,$t_0$,50.0,0.49799330385344287,17.048027328100176
B4145_D80_a0.16_ms100,$t_0$,50.0,0.5377926721415035,16.84845205336633
B4145_D80_a0.16_ms100,$t_0$,50.0,0.5775919772583702,16.651775363010955
B4145_D80_a0.16_ms100,$t_0$,50.0,0.6173912823752369,16.457333066866024
B4145_D80_a0.16_ms100,$t_0$,50.0,0.6571907770056854,16.26464709555523
B4145_D80_a0.16_ms100,$t_0$,50.0,0.6969898926089704,16.07339763700138
B4145_D80_a0.16_ms100,$t_0$,50.0,0.7367890082122552,15.883351883907334
B4145_D80_a0.16_ms100,$t_0$,50.0,0.7765887555274795,15.694394134292622
B4145_D80_a0.16_ms100,$t_0$,50.0,0.8163878711307644,15.50644738318689
B4145_D80_a0.16_ms100,$t_0$,50.0,0.8561869867340492,15.319362460032893
B4145_D80_a0.16_ms100,$t_0$,50.0,0.8959867340492736,15.132910729736965
B4145_D80_a0.16_ms100,$t_0$,50.0,0.9357858496525585,14.946835294768043
B4145_D80_a0.16_ms100,$t_0$,50.0,0.9755855969677827,14.760820895661203
B4145_D80_a0.16_ms100,$t_0$,50.0,1.0153847125710675,14.57446574948272
B4145_D80_a0.16_ms100,$t_0$,50.0,1.0551838281743526,14.38736227301658
B4145_D80_a0.16_ms100,$t_0$,50.0,1.0949835754895767,14.198992416053002
B4145_D80_a0.16_ms100,$t_0$,50.0,1.1347826910928616,14.008803994633144
B4145_D80_a0.16_ms100,$t_0$,50.0,1.1745818066961466,13.816936811020222
B4145_D80_a0.16_ms100,$t_0$,50.0,1.214381554011371,13.624381745657208
B4145_D80_a0.16_ms100,$t_0$,50.0,1.2541806696146558,13.431630972160075
B4145_D80_a0.16_ms100,$t_0$,50.0,1.2939797852179407,13.238994302980666
B4145_D80_a0.16_ms100,$t_0$,50.0,1.333779532533165,13.046697798728083
B4145_D80_a0.16_ms100,$t_0$,50.0,1.3735786481364498,12.854812879845316
B4145_D80_a0.16_ms100,$t_0$,50.0,1.413377763739735,12.663307367922469
B4145_D80_a0.16_ms100,$t_0$,50.0,1.453177511054959,12.472019072917126
B4145_D80_a0.16_ms100,$t_0$,50.0,1.4929766266582438,12.280738330060807
B4145_D80_a0.16_ms100,$t_0$,50.0,1.532775742261529,12.089129875218244
B4145_D80_a0.16_ms100,$t_0$,50.0,1.5725754895767532,11.896763344091342
B4145_D80_a0.16_ms100,$t_0$,50.0,1.6123746051800378,11.702966068855941
B4145_D80_a0.16_ms100,$t_0$,50.0,1.652173720783323,11.50702994935511
B4145_D80_a0.16_ms100,$t_0$,50.0,1.6919734680985472,11.30862292697695
B4145_D80_a0.16_ms100,$t_0$,50.0,1.7317725837018318,11.107708027438688
B4145_D80_a0.16_ms100,$t_0$,50.0,1.771571699305117,10.904596542526786
B4145_D80_a0.16_ms100,$t_0$,50.0,1.8113714466203412,10.699972704482862
B4145_D80_a0.16_ms100,$t_0$,50.0,1.8511705622236259,10.494810311727013
B4145_D80_a0.16_ms100,$t_0$,50.0,1.890969677826911,10.29039951889209
B4145_D80_a0.16_ms100,$t_0$,50.0,1.9307694251421352,10.088270504939256
