alpha_s,B4_MeV,Delta0_MeV,sigma_crit_star,M_max_Msun,reject_reason_code
0.0,130.0,0.0,,2.3621805478012896,6
0.0,131.0,0.0,,2.32795885287135,6
0.0,132.0,0.0,,2.2944654258446198,6
0.0,133.0,0.0,,2.26173053563225,6
0.0,134.0,0.0,,2.2296276873179384,6
0.0,135.0,0.0,,2.1982725445913984,6
0.0,136.0,0.0,,2.167494575946162,6
0.0,137.0,0.0,,2.137343092967396,6
0.0,138.0,0.0,,2.1078402681451984,6
0.0,139.0,0.0,,2.078956842199698,6
0.0,140.0,0.0,,2.050614355401181,6
0.0,141.0,0.0,,2.0229060272165804,6
0.0,142.0,0.0,,1.9956929486231767,4
0.0,143.0,0.0,,1.9690542920206662,4
0.0,144.0,0.0,,1.9429015160538754,4
0.0,145.0,0.0,,1.9172710407971743,4
0.0,146.0,0.0,,1.8921361810870043,4
0.0,147.0,0.0,,1.8675025015601523,4
0.0,148.0,0.0,,1.8433305176377228,4
0.0,149.0,0.0,,1.8196122672606616,4
0.0,150.0,0.0,,1.7963562364684833,4
0.0,151.0,0.0,,1.7735287810566311,4
0.0,152.0,0.0,,1.7511617141512534,4
0.0,153.0,0.0,,1.7292033436403202,4
0.0,154.0,0.0,,1.7076484224657928,4
0.0,155.0,0.0,,1.68648547108019,4
0.0,156.0,0.0,,1.6656942875839993,4
0.0,157.0,0.0,,1.6452967754954049,4
0.0,158.0,0.0,,1.6252436351170514,4
0.0,159.0,0.0,,,1
0.0,160.0,0.0,,,1
0.0,161.0,0.0,,,1
0.0,162.0,0.0,,,1
0.0,163.0,0.0,,,1
0.0,164.0,0.0,,,1
0.0,165.0,0.0,,,1
0.0,166.0,0.0,,,1
0.0,167.0,0.0,,,1
0.0,168.0,0.0,,,1
0.0,169.0,0.0,,,1
0.0,170.0,0.0,,,1
0.0,171.0,0.0,,,1
0.0,172.0,0.0,,,1
0.0,173.0,0.0,,,1
0.0,174.0,0.0,,,1
0.0,175.0,0.0,,,1
0.0,176.0,0.0,,,1
0.0,177.0,0.0,,,1
0.0,178.0,0.0,,,1
0.0,179.0,0.0,,,1
0.0,180.0,0.0,,,1
0.0,130.0,4.0,,2.3631644615305314,6
0.0,131.0,4.0,,2.328934906999551,6
0.0,132.0,4.0,,2.295420594865773,6
0.0,133.0,4.0,,2.262633175226787,6
0.0,134.0,4.0,,2.230543977007901,6
0.0,135.0,4.0,,2.199083027367399,6
0.0,136.0,4.0,,2.1683182405310304,6
0.0,137.0,4.0,,2.1381390340899356,6
0.0,138.0,4.0,,2.108655628899519,6
0.0,139.0,4.0,,2.079724921502662,6
0.0,140.0,4.0,,2.05134169459444,6
0.0,141.0,4.0,,2.0236292049385725,6
0.0,142.0,4.0,,1.9963932762745533,4
0.0,143.0,4.0,,1.9697156775678617,4
0.0,144.0,4.0,,1.9435694255648333,4
0.0,145.0,4.0,,1.9179401143106052,4
0.0,146.0,4.0,,1.8927796684985168,4
0.0,147.0,4.0,,1.8681294257653378,4
0.0,148.0,4.0,,1.8439308216240706,4
0.0,149.0,4.0,,1.820204351981056,4
0.0,150.0,4.0,,1.7969168563479967,4
0.0,151.0,4.0,,1.7740839710811802,4
0.0,152.0,4.0,,1.751710254748057,4
0.0,153.0,4.0,,1.7297415219690375,4
0.0,154.0,4.0,,1.708172666641238,4
0.0,155.0,4.0,,1.6869758708806182,4
0.0,156.0,4.0,,1.6661955866004183,4
0.0,157.0,4.0,,1.6457701951789334,4
0.0,158.0,4.0,,1.6257115595478369,4
0.0,159.0,4.0,,,1
0.0,160.0,4.0,,,1
0.0,161.0,4.0,,,1
0.0,162.0,4.0,,,1
0.0,163.0,4.0,,,1
0.0,164.0,4.0,,,1
0.0,165.0,4.0,,,1
0.0,166.0,4.0,,,1
0.0,167.0,4.0,,,1
0.0,168.0,4.0,,,1
0.0,169.0,4.0,,,1
0.0,170.0,4.0,,,1
0.0,171.0,4.0,,,1
0.0,172.0,4.0,,,1
0.0,173.0,4.0,,,1
0.0,174.0,4.0,,,1
0.0,175.0,4.0,,,1
0.0,176.0,4.0,,,1
0.0,177.0,4.0,,,1
0.0,178.0,4.0,,,1
0.0,179.0,4.0,,,1
0.0,180.0,4.0,,,1
0.0,130.0,8.0,,2.3661560032488063,6
0.0,131.0,8.0,,2.331919239830421,6
0.0,132.0,8.0,,2.2982683285706957,6
0.0,133.0,8.0,,2.265396419176047,6
0.0,134.0,8.0,,2.23321915282499,6
0.0,135.0,8.0,,2.2017038868081453,6
0.0,136.0,8.0,,2.1708637627980245,6
0.0,137.0,8.0,,2.140662048056741,6
0.0,138.0,8.0,,2.1110416617172705,6
0.0,139.0,8.0,,2.082071582857807,6
0.0,140.0,8.0,,2.053660131841621,6
0.0,141.0,8.0,,2.025816064642693,6
0.0,142.0,8.0,,1.9985215605000068,4
0.0,143.0,8.0,,1.9718152456020568,4
0.0,144.0,8.0,,1.9455745493903223,4
0.0,145.0,8.0,,1.9198688819895806,4
0.0,146.0,8.0,,1.8946908301551648,4
0.0,147.0,8.0,,1.8699559680649107,4
0.0,148.0,8.0,,1.8457345509385972,4
0.0,149.0,8.0,,1.8219562368667896,4
0.0,150.0,8.0,,1.7986372261881287,4
0.0,151.0,8.0,,1.775758316577802,4
0.0,152.0,8.0,,1.7533656871508878,4
0.0,153.0,8.0,,1.7313133661642577,4
0.0,154.0,8.0,,1.709703083410334,4
0.0,155.0,8.0,,1.6884901953697538,4
0.0,156.0,8.0,,1.6676592783302824,4
0.0,157.0,8.0,,1.6471937875203062,4
0.0,158.0,8.0,,1.6270925527473503,4
0.0,159.0,8.0,,,1
0.0,160.0,8.0,,,1
0.0,161.0,8.0,,,1
0.0,162.0,8.0,,,1
0.0,163.0,8.0,,,1
0.0,164.0,8.0,,,1
0.0,165.0,8.0,,,1
0.0,166.0,8.0,,,1
0.0,167.0,8.0,,,1
0.0,168.0,8.0,,,1
0.0,169.0,8.0,,,1
0.0,170.0,8.0,,,1
0.0,171.0,8.0,,,1
0.0,172.0,8.0,,,1
0.0,173.0,8.0,,,1
0.0,174.0,8.0,,,1
0.0,175.0,8.0,,,1
0.0,176.0,8.0,,,1
0.0,177.0,8.0,,,1
0.0,178.0,8.0,,,1
0.0,179.0,8.0,,,1
0.0,180.0,8.0,,,1
0.0,130.0,12.0,,2.3712725252937674,6
0.0,131.0,12.0,,2.3367633048746854,6
0.0,132.0,12.0,,2.303054831571816,6
0.0,133.0,12.0,,2.270082900772711,6
0.0,134.0,12.0,,2.237693835879164,6
0.0,135.0,12.0,,2.206087399729626,6
0.0,136.0,12.0,,2.1750843180023693,6
0.0,137.0,12.0,,2.1447370937961807,6
0.0,138.0,12.0,,2.11504170046432,6
0.0,139.0,12.0,,2.085904824283596,6
0.0,140.0,12.0,,2.057412542630886,6
0.0,141.0,12.0,,2.029467721698358,6
0.0,142.0,12.0,,2.002084884454795,6
0.0,143.0,12.0,,1.9752636533492711,4
0.0,144.0,12.0,,1.9489429825803615,4
0.0,145.0,12.0,,1.923165526479337,4
0.0,146.0,12.0,,1.8978582089268827,4
0.0,147.0,12.0,,1.873056686653053,4
0.0,148.0,12.0,,1.8487447805945352,4
0.0,149.0,12.0,,1.8248688329907508,4
0.0,150.0,12.0,,1.8015091171313105,4
0.0,151.0,12.0,,1.778568256107535,4
0.0,152.0,12.0,,1.7560699537366693,4
