sigma,R_star_fm,W_star_MeV
40.0,1.3927517882926368,321.3694352556203
47.241379310344826,1.653685391120224,532.930876645114
54.48275862068965,1.9185990345013608,823.661394378825
61.724137931034484,2.1877920263754436,1207.6858733470258
68.9655172413793,2.4614356301904805,1699.8321785010546
76.20689655172413,2.7395668625905762,2315.6254811033536
83.44827586206897,3.022090485202777,3071.2497363234725
90.6896551724138,3.308789990150344,3983.4790576010732
97.93103448275862,3.599346942894832,5069.584979389466
105.17241379310344,3.8933665847920227,6347.228154746983
112.41379310344827,4.1904065576320555,7834.344271551524
119.6551724137931,4.490005305450386,9549.033622217086
126.89655172413794,4.791707161632053,11509.462014744848
134.13793103448276,5.095082141465821,13733.778109621533
141.3793103448276,5.399739622490837,16240.049475831214
148.6206896551724,5.705336136591982,19046.21724140778
155.86206896551724,6.01157817770568,22170.067487502638
163.10344827586206,6.318221254838393,25629.21656916009
170.3448275862069,6.625066434510834,29441.107229770598
177.58620689655172,6.931955452800146,33623.012517635325
184.82758620689654,7.238765224852872,38192.0449163042
192.06896551724137,7.545402346892754,43165.168608409906
199.3103448275862,7.851797936577037,48559.21330055973
206.55172413793102,8.157903000837772,54390.88848643279
213.79310344827587,8.463684441997081,60676.797392744236
221.0344827586207,8.769121693271314,67433.45013571282
228.27586206896552,9.07420388398467,74677.27582309266
235.51724137931035,9.378927573353817,82424.63348252958
242.75862068965517,9.683294903345152,90691.82179509843
250.0,9.987312130356448,99495.08767222002
