params,sigma,M_t0,Mb_t0,nBc_t0,YSc_t0,M_tT,nBc_tT,YSc_tT,type,M_rem,E_conv_e53,sigma_crit_centre_t0,sigma_crit_centre_tT
B4145_D80_a0.16_ms100,50.0,1.2,1.2505899932152167,2.415752554349326,0.005026089827766669,,,,QS,0.9823219349977609,3.880546864794916,81.31817077123877,
B4145_D80_a0.16_ms100,50.0,1.4,1.482016676983226,2.9819589632516763,0.01343489580291162,,,,QS,1.149802350399735,4.4602734994239235,85.26356278612654,
B4145_D80_a0.16_ms100,50.0,1.6,1.7233297043333304,3.8350297873867443,0.040545282341502176,,,,QS,1.3202985215798175,4.986238255796595,86.47298526881414,
B4145_D80_a0.16_ms100,50.0,1.8,,,,,,,BH,,,,
B4145_D80_a0.16_ms100,100.0,1.2,1.2505899932152167,2.415752554349326,0.005026089827766669,1.1928618184886226,2.473267230700438,0.01638961025699718,NS,1.1378790102967262,,81.31817077123877,98.30626922451567
B4145_D80_a0.16_ms100,100.0,1.4,1.482016676983226,2.9819589632516763,0.01343489580291162,1.3913527592011465,3.1703242989200184,0.03239382435963374,QS,1.149802350399735,4.306119137702764,85.26356278612654,101.83623272188612
B4145_D80_a0.16_ms100,100.0,1.6,1.7233297043333304,3.8350297873867443,0.040545282341502176,1.5894848461148923,4.248789920763571,0.07490925478065855,QS,1.3202985215798175,4.798784607486778,86.47298526881414,104.36951732690765
B4145_D80_a0.16_ms100,100.0,1.8,,,,,,,BH,,,,
B4158_D157_a0.13_ms100,50.0,1.2,1.2505899932152167,2.415752554349326,0.005026089827766669,,,,QS,0.8842000273183616,5.629766112995568,158.03199079387298,
B4158_D157_a0.13_ms100,50.0,1.4,1.482016676983226,2.9819589632516763,0.01343489580291162,,,,QS,1.035917547205715,6.490497885963719,172.0369119683216,
B4158_D157_a0.13_ms100,50.0,1.6,1.7233297043333304,3.8350297873867443,0.040545282341502176,,,,QS,1.1907540857163554,7.295626913934533,190.02119882092737,
B4158_D157_a0.13_ms100,50.0,1.8,,,,,,,BH,,,,
B4158_D157_a0.13_ms100,100.0,1.2,1.2505899932152167,2.415752554349326,0.005026089827766669,,,,QS,0.8842000273183616,5.629766112995568,158.03199079387298,
B4158_D157_a0.13_ms100,100.0,1.4,1.482016676983226,2.9819589632516763,0.01343489580291162,,,,QS,1.035917547205715,6.490497885963719,172.0369119683216,
B4158_D157_a0.13_ms100,100.0,1.6,1.7233297043333304,3.8350297873867443,0.040545282341502176,,,,QS,1.1907540857163554,7.295626913934533,190.02119882092737,
B4158_D157_a0.13_ms100,100.0,1.8,,,,,,,BH,,,,
