#            e_c             P_c            n_Bc               R               M             M_B
  1.00000000e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  1.03864882e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  1.07879138e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  1.12048540e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  1.16379085e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  1.20876999e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  1.25548753e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  1.30401065e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  1.35440913e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  1.40675545e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  1.46112490e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  1.51759566e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  1.57624895e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  1.63716912e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  1.70044378e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  1.76616393e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  1.83442409e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  1.90532243e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  1.97896090e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  2.05544542e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  2.13488597e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  2.21739680e+02   2.94428790e+00   3.15662651e-01   4.42843173e+00   7.39928885e-02   9.73547304e-02
  2.30309658e+02   4.57899210e+00   3.21250439e-01   5.42204248e+00   1.36031606e-01   1.80378718e-01
  2.39210856e+02   8.79362630e+00   3.32779250e-01   7.14007765e+00   3.13914236e-01   4.23838398e-01
  2.48456074e+02   1.31358341e+01   3.44737943e-01   8.29822283e+00   4.99210109e-01   6.84987221e-01
  2.58058610e+02   1.76108518e+01   3.57364311e-01   9.15254096e+00   6.78991747e-01   9.45278276e-01
  2.68032272e+02   2.22239301e+01   3.70200796e-01   9.81040171e+00   8.47942541e-01   1.19600575e+00
  2.78391404e+02   2.69805701e+01   3.83207663e-01   1.03316634e+01   1.00435043e+00   1.43346004e+00
  2.89150905e+02   3.18864305e+01   3.96607331e-01   1.07510805e+01   1.14770293e+00   1.65570459e+00
  3.00326247e+02   3.69472555e+01   4.10317083e-01   1.10924982e+01   1.27839413e+00   1.86228690e+00
  3.11933504e+02   4.21691067e+01   4.24256928e-01   1.13735725e+01   1.39733351e+00   2.05371316e+00
  3.23989367e+02   4.75581525e+01   4.38644975e-01   1.16047404e+01   1.50507710e+00   2.23003401e+00
  3.36511176e+02   5.31208111e+01   4.53259629e-01   1.17963558e+01   1.60277102e+00   2.39241900e+00
  3.49516937e+02   5.88637151e+01   4.68322776e-01   1.19543769e+01   1.69113579e+00   2.54143785e+00
  3.63025356e+02   6.47937193e+01   4.83666626e-01   1.20849409e+01   1.77109216e+00   2.67811730e+00
  3.77055860e+02   7.09179041e+01   4.99437966e-01   1.21922553e+01   1.84334766e+00   2.80320409e+00
  3.91628626e+02   7.72436448e+01   5.15566781e-01   1.22790974e+01   1.90861552e+00   2.91754020e+00
  4.06764612e+02   8.37785111e+01   5.32071483e-01   1.23490483e+01   1.96750719e+00   3.02185566e+00
